Technology,Parameter,Scenario,Year,Value,Unit,Source
"Battery, Utility (2C)",OPEX_fixed,Global Ambition,2030,8400,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,National Trends,2035,8100,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Distributed Energy,2035,8100,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Global Ambition,2035,8100,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,National Trends,2040,8100,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Distributed Energy,2040,8100,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Global Ambition,2040,8100,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,National Trends,2045,8700,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Distributed Energy,2045,8700,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Global Ambition,2045,8700,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,National Trends,2050,9200,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Distributed Energy,2050,9200,€/MW/a,TYNDP 2024
"Battery, Utility (2C)",OPEX_fixed,Global Ambition,2050,9200,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,National Trends,2030,8400,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Distributed Energy,2030,8400,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Global Ambition,2030,8400,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,National Trends,2035,8100,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Distributed Energy,2035,8100,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Global Ambition,2035,8100,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,National Trends,2040,8100,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Distributed Energy,2040,8100,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Global Ambition,2040,8100,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,National Trends,2045,8700,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Distributed Energy,2045,8700,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Global Ambition,2045,8700,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,National Trends,2050,9200,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Distributed Energy,2050,9200,€/MW/a,TYNDP 2024
"Battery, Utility (4C)",OPEX_fixed,Global Ambition,2050,9200,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,National Trends,2030,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Distributed Energy,2030,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Global Ambition,2030,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,National Trends,2035,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Distributed Energy,2035,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Global Ambition,2035,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,National Trends,2040,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Distributed Energy,2040,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Global Ambition,2040,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,National Trends,2045,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Distributed Energy,2045,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Global Ambition,2045,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,National Trends,2050,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Distributed Energy,2050,0,€/MW/a,TYNDP 2024
Pumped Hydropower,OPEX_fixed,Global Ambition,2050,0,€/MW/a,TYNDP 2024
Hydrogen Salt Caverns,OPEX_fixed,National Trends,2030,0.00004,€/MW/a,TYNDP 2024
Hydrogen Salt Caverns,OPEX_fixed,Distributed Energy,2030,0.00004,€/MW/a,TYNDP 2024
